Date,Open,High,Low,Close,Volume
2019-08-19,3.65,3.65,3.4532,3.52,76475
2019-08-20,3.58,3.58,3.19,3.2,275329
2019-08-21,3.29,3.3,3,3.04,358401
2019-08-22,3.03,3.09,2.95,2.98,191865
2019-08-23,3,3,2.725,2.91,289260
2019-08-26,2.95,2.98,2.79,2.8,198961
2019-08-27,2.75,2.85,2.545,2.69,314378
2019-08-28,2.73,2.83,2.57,2.58,481320
2019-08-29,2.59,2.73,2.59,2.65,235037
2019-08-30,2.7,2.75,2.64,2.68,310033
2019-09-03,2.74,2.74,2.59,2.64,111031
2019-09-04,2.63,2.71,2.6,2.66,141841
2019-09-05,2.66,2.73,2.55,2.59,369097
2019-09-06,2.6,2.66,2.55,2.6,197488
2019-09-09,2.59,2.81,2.58,2.79,315621
2019-09-10,2.79,3.01,2.79,2.99,409853
2019-09-11,3,3.025,2.92,2.97,201613
2019-09-12,2.9,3.15,2.9,3.1,297668
2019-09-13,3.1,3.3541,3.1,3.32,472492
2019-09-16,3.34,3.3489,3.05,3.17,218570
2019-09-17,3.17,3.18,3.11,3.14,235099
2019-09-18,3.13,3.19,3.1,3.14,54848
2019-09-19,3.13,3.16,3.08,3.09,151533
2019-09-20,3.05,3.12,2.98,2.99,124503
2019-09-23,2.98,2.99,2.91,2.96,78905
2019-09-24,2.94,2.96,2.87,2.88,63080
2019-09-25,2.88,2.93,2.76,2.89,71504
2019-09-26,2.93,3.2,2.87,3.18,221337
2019-09-27,3.1,3.55,3.1,3.48,565626
2019-09-30,3.42,3.66,3.42,3.64,421415
2019-10-01,3.66,3.74,3.6,3.62,187510
2019-10-02,3.56,3.56,3.38,3.49,261674
2019-10-03,3.47,3.48,3.31,3.45,52609
2019-10-04,3.43,3.6,3.43,3.59,79254
2019-10-07,3.64,3.81,3.64,3.78,151039
2019-10-08,3.76,4,3.7309,3.93,248588
2019-10-09,3.97,3.993,3.85,3.94,299399
2019-10-10,3.9,3.9,3.849,3.87,105518
2019-10-11,3.86,3.97,3.7,3.7,154997
2019-10-14,3.7,3.73,3.58,3.7,28587
2019-10-15,3.7,3.87,3.7,3.84,38486
2019-10-16,3.82,4.12,3.81,4.06,347896
2019-10-17,4.08,4.4,4.08,4.33,675595
2019-10-18,4.38,4.48,4.2,4.24,157191
2019-10-21,4.24,4.5,4.22,4.4,198362
2019-10-22,4.45,4.48,4.13,4.21,208180
2019-10-23,4.21,4.39,4.17,4.32,91740
2019-10-24,4.31,4.35,4.22,4.26,66304
2019-10-25,4.25,4.32,4.09,4.14,83596
2019-10-28,4.13,4.4,4.11,4.31,134024
2019-10-29,4.29,4.52,4.2615,4.41,140927
2019-10-30,4.35,4.395,4.25,4.3,104452
2019-10-31,4.46,4.46,4.28,4.36,110895
2019-11-01,4.34,4.76,4.34,4.75,189098
2019-11-04,4.8,4.94,4.66,4.72,111566
2019-11-05,4.8,4.94,4.48,4.75,307243
2019-11-06,4.74,4.75,4.39,4.52,134225
2019-11-07,4.56,4.6136,4.38,4.57,89714
2019-11-08,4.51,4.64,4.4801,4.52,412335
2019-11-11,4.54,4.58,4.46,4.57,29635
2019-11-12,4.58,4.58,4.37,4.44,142475
2019-11-13,4.4,4.57,4.32,4.52,181744
2019-11-14,4.45,4.55,4.2701,4.41,270051
2019-11-15,4.41,4.523,4.35,4.47,90447
2019-11-18,4.47,4.47,4.2726,4.36,117334
2019-11-19,4.35,4.44,4.3,4.36,66021
